monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
228360525523,P1-fast-idle,196,549,0,1,2,0.0
228360696673,P1-fast-idle,196,549,0,1,2,0.0
228360867411,P1-fast-idle,196,549,0,1,2,0.0
228361039011,P1-fast-idle,196,549,0,1,2,0.0
228361213988,P1-fast-idle,196,549,0,1,2,0.0
228361385788,P1-fast-idle,197,550,0,1,2,0.0
228361556908,P1-fast-idle,197,550,0,1,2,0.0
228361727786,P1-fast-idle,197,550,0,1,2,0.0
228361898565,P1-fast-idle,197,550,0,1,2,0.0
228362070095,P1-fast-idle,197,550,0,1,2,0.0
228362241004,P1-fast-idle,197,550,0,1,2,0.0
228362412344,P1-fast-idle,198,551,0,1,2,0.0
228362586939,P1-fast-idle,198,551,0,1,2,0.0
228362758049,P1-fast-idle,198,551,0,1,2,0.0
228362928747,P1-fast-idle,198,551,0,1,2,0.0
228363100417,P1-fast-idle,198,551,0,1,2,0.0
228363270885,P1-fast-idle,198,551,0,1,2,0.0
228363441313,P1-fast-idle,198,551,0,1,2,0.0
228363610910,P1-fast-idle,199,553,0,1,2,0.0
228363782409,P1-fast-idle,199,553,0,1,2,0.0
228363952567,P1-fast-idle,199,553,0,1,2,0.0
228364123766,P1-fast-idle,199,553,0,1,2,0.0
228364294595,P1-fast-idle,199,553,0,1,2,0.0
228364468329,P1-fast-idle,199,553,0,1,2,0.0
228364639940,P1-fast-idle,200,554,0,1,2,0.0
228364810427,P1-fast-idle,200,554,0,1,2,0.0
228364981337,P1-fast-idle,200,554,0,1,2,0.0
228365152726,P1-fast-idle,200,554,0,1,2,0.0
228365323304,P1-fast-idle,200,554,0,1,2,0.0
228365493732,P1-fast-idle,200,554,0,1,2,0.0
228365664651,P1-fast-idle,201,555,0,1,2,0.0
228365835270,P1-fast-idle,201,555,0,1,2,0.0
228366005918,P1-fast-idle,201,555,0,1,2,0.0
228366176797,P1-fast-idle,201,555,0,1,2,0.0
228366347014,P1-fast-idle,201,555,0,1,2,0.0
228366517282,P1-fast-idle,201,555,0,1,2,0.0
228366688361,P1-fast-idle,202,556,0,1,2,0.0
228366859150,P1-fast-idle,202,556,0,1,2,0.0
228367030409,P1-fast-idle,202,556,0,1,2,0.0
228367200847,P1-fast-idle,202,556,0,1,2,0.0
228367371576,P1-fast-idle,202,556,0,1,2,0.0
228367552393,P1-fast-idle,202,556,0,1,2,0.0
228367723142,P1-fast-idle,202,556,0,1,2,0.0
228367895704,P1-fast-idle,203,557,0,1,2,0.0
228368067224,P1-fast-idle,203,557,0,1,2,0.0
228368237712,P1-fast-idle,203,557,0,1,2,0.0
228368408511,P1-fast-idle,203,557,0,1,2,0.0
228368578728,P1-fast-idle,203,557,0,1,2,0.0
228368749437,P1-fast-idle,203,557,0,1,2,0.0
228368920867,P1-fast-idle,204,558,0,1,2,0.0
228369092076,P1-fast-idle,204,558,0,1,2,0.0
228369262644,P1-fast-idle,204,558,0,1,2,0.0
228369432822,P1-fast-idle,204,558,0,1,2,0.0
228369603260,P1-fast-idle,204,558,0,1,2,0.0
228369773738,P1-fast-idle,204,558,0,1,2,0.0
228369950788,P1-fast-idle,205,559,0,1,2,0.0
228370122699,P1-fast-idle,205,559,0,1,2,0.0
228370293327,P1-fast-idle,205,559,0,1,2,0.0
228370465057,P1-fast-idle,205,559,0,1,2,0.0
228370635716,P1-fast-idle,205,559,0,1,2,0.0
228370806525,P1-fast-idle,205,559,0,1,2,0.0
228370977814,P1-fast-idle,206,560,0,1,2,0.0
228371153381,P1-fast-idle,206,560,0,1,2,0.0
228371324160,P1-fast-idle,206,560,0,1,2,0.0
228371494889,P1-fast-idle,206,560,0,1,2,0.0
228371665307,P1-fast-idle,206,560,0,1,2,0.0
228371836155,P1-fast-idle,206,560,0,1,2,0.0
228372007666,P1-fast-idle,206,560,0,1,2,0.0
228372177672,P1-fast-idle,207,561,0,1,2,0.0
228372348732,P1-fast-idle,207,561,0,1,2,0.0
228372519210,P1-fast-idle,207,561,0,1,2,0.0
228372689858,P1-fast-idle,207,561,0,1,2,0.0
228372860266,P1-fast-idle,207,561,0,1,2,0.0
228373031355,P1-fast-idle,207,561,0,1,2,0.0
228373202965,P1-fast-idle,208,562,0,1,2,0.0
228373373604,P1-fast-idle,208,562,0,1,2,0.0
228373543821,P1-fast-idle,208,562,0,1,2,0.0
228373714199,P1-fast-idle,208,562,0,1,2,0.0
228373885158,P1-fast-idle,208,562,0,1,2,0.0
228374056598,P1-fast-idle,208,562,0,1,2,0.0
228374227667,P1-fast-idle,209,563,0,1,2,0.0
228374398025,P1-fast-idle,209,563,0,1,2,0.0
228374572330,P1-fast-idle,209,563,0,1,2,0.0
228374743920,P1-fast-idle,209,563,0,1,2,0.0
228374914519,P1-fast-idle,209,563,0,1,2,0.0
228375086219,P1-fast-idle,209,563,0,1,2,0.0
