seq,case,event,state_before,state_after,owner,homed,machine_authorized,feedback_valid,drive_ok,stall_suspect,typed_request,displayed_target,target_in_range,target_accepted,active_target,min_target,max_target,planner_output,feedback_position,planner_at_target,within_target_tolerance,normal_planner_enabled,posthome_command_effective,planner_motion_active,typed_move_complete,fault_reason,reconcile_required,stale_target_replayed,load_bypass_requested,load_bypass_used
19,P4-feedback,accept-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,80.0,True,True,80.0,0.0,100.0,0,0,False,False,True,True,True,False,,False,False,False,False
20,P4-feedback,approach,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,80.0,True,False,80.0,0.0,100.0,20.0,10.0,False,False,True,True,True,False,,False,False,False,False
21,P4-feedback,fault,TYPED_MOVE,FAULTED,NONE,True,True,False,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,FEEDBACK_INVALID,True,False,False,False
22,P4-feedback,enter-reconcile,FAULTED,RECONCILE,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,FEEDBACK_INVALID,True,False,False,False
23,P4-feedback,finish-reconcile,RECONCILE,IDLE_REFERENCED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,,False,False,False,False
24,P4-drive,accept-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,80.0,True,True,80.0,0.0,100.0,0,0,False,False,True,True,True,False,,False,False,False,False
25,P4-drive,approach,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,80.0,True,False,80.0,0.0,100.0,20.0,10.0,False,False,True,True,True,False,,False,False,False,False
26,P4-drive,fault,TYPED_MOVE,FAULTED,NONE,True,True,True,False,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,DRIVE_FAULT,True,False,False,False
27,P4-drive,enter-reconcile,FAULTED,RECONCILE,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,DRIVE_FAULT,True,False,False,False
28,P4-drive,finish-reconcile,RECONCILE,IDLE_REFERENCED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,,False,False,False,False
29,P4-stall,accept-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,80.0,True,True,80.0,0.0,100.0,0,0,False,False,True,True,True,False,,False,False,False,False
30,P4-stall,approach,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,80.0,True,False,80.0,0.0,100.0,20.0,10.0,False,False,True,True,True,False,,False,False,False,False
31,P4-stall,fault,TYPED_MOVE,FAULTED,NONE,True,True,True,True,True,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,STALL_SUSPECT,True,False,False,False
32,P4-stall,enter-reconcile,FAULTED,RECONCILE,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,STALL_SUSPECT,True,False,False,False
33,P4-stall,finish-reconcile,RECONCILE,IDLE_REFERENCED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,20.0,10.0,False,False,True,False,False,False,,False,False,False,False
34,P5,planner-at-target-feedback-short,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,,False,False,60.0,0.0,100.0,60.0,40,True,False,True,True,False,False,,False,False,False,False
35,P5,feedback-at-target-planner-short,TYPED_MOVE,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,False,,False,False,60.0,0.0,100.0,40.0,60,False,True,True,True,True,False,,False,False,False,False
36,P5,geometry-converged-auth-false,TYPED_MOVE,FAULTED,NONE,True,False,True,True,False,False,,False,False,,0.0,100.0,60,60,False,False,True,False,False,False,AUTHORIZATION_LOST,True,False,False,False
37,P5,geometry-converged-drive-fault,TYPED_MOVE,FAULTED,NONE,True,True,True,False,False,False,,False,False,,0.0,100.0,60,60,False,False,True,False,False,False,DRIVE_FAULT,True,False,False,False
38,P5,geometry-converged-feedback-invalid,TYPED_MOVE,FAULTED,NONE,True,True,False,True,False,False,,False,False,,0.0,100.0,60,60,False,False,True,False,False,False,FEEDBACK_INVALID,True,False,False,False
39,P6,accept-target,IDLE_REFERENCED,TYPED_MOVE,TYPED_MOVE,True,True,True,True,False,True,80.0,True,True,80.0,0.0,100.0,0,0,False,False,True,True,True,False,,False,False,False,False
40,P6,fault-drive,TYPED_MOVE,FAULTED,NONE,True,True,True,False,False,False,80.0,True,False,,0.0,100.0,0,10.0,False,False,True,False,False,False,DRIVE_FAULT,True,False,False,False
41,P6,enter-reconcile-reference-lost,FAULTED,RECONCILE,NONE,False,True,True,True,False,False,80.0,True,False,,0.0,100.0,0,10.0,False,False,True,False,False,False,DRIVE_FAULT,True,False,False,False
42,P6,finish-reconcile-unreferenced,RECONCILE,UNREFERENCED,NONE,False,True,True,True,False,False,80.0,True,False,,0.0,100.0,0,10.0,False,False,True,False,False,False,,False,False,False,False
43,P6,later-home-no-replay,UNREFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,False,80.0,True,False,,0.0,100.0,0,10.0,False,False,True,False,False,False,,False,False,False,False
44,P7,load-bypass-request-rejected,IDLE_REFERENCED,IDLE_REFERENCED,NONE,True,True,True,True,False,True,80.0,True,False,,0.0,100.0,0,0,False,False,True,False,False,False,,False,False,True,False
