== fixture-after-attach ==
UTC 2026-09-09T04:22:13Z
-- comps --
Loaded HAL Components:
ID      Type  Name                                                    PID   State
    11  bit   RW                  FALSE  hm2_test.0.gpio.014.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.014.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.015.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.015.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.015.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.016.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.016.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.016.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.017.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.017.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.017.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.018.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.018.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.018.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.019.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.019.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.019.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.020.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.020.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.020.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.021.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.021.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.021.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.022.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.022.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.022.is_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.023.invert_output
    11  bit   RW                  FALSE  hm2_test.0.gpio.023.is_opendrain
    11  bit   RW                  FALSE  hm2_test.0.gpio.023.is_output
    11  bit   RW                  FALSE  hm2_test.0.io_error
    11  s32   RW                   5058  hm2_test.0.read.tmax
    11  bit   RO                  FALSE  hm2_test.0.read.tmax-increased
    11  s32   RW                      0  hm2_test.0.read_gpio.tmax
    11  bit   RO                  FALSE  hm2_test.0.read_gpio.tmax-increased
